Test at 17:52,,,,y = 2E-10x3 - 2E-06x2 + 0.0058x + 49.68
20,54,2215003,00:36:55.3,
20,54,2220003,00:37:00.3,
20,54,2225003,00:37:05.3,
20,54,2230003,00:37:10.3,
20,54,2235008,00:37:15.8,
20,54,2240003,00:37:20.3,
20,54,2245003,00:37:25.3,
20,54,2250003,00:37:30.3,
20,54,2255003,00:37:35.3,
20,54,2260003,00:37:40.3,
20,54,2265004,00:37:45.4,
20,54,2270003,00:37:50.3,
20,54,2275003,00:37:55.3,
20,54,2280003,00:38:00.3,
20,54,2285003,00:38:05.3,
20,54,2290003,00:38:10.3,
20,54,2295003,00:38:15.3,
20,54,2300003,00:38:20.3,
20,53,2305003,00:38:25.3,
20,54,2310003,00:38:30.3,
20,54,2315003,00:38:35.3,
20,54,2320003,00:38:40.3,
20,54,2325003,00:38:45.3,
20,54,2330003,00:38:50.3,
20,54,2335003,00:38:55.3,
20,54,2340003,00:39:00.3,
20,54,2345004,00:39:05.4,
20,54,2350003,00:39:10.3,
20,53,2355003,00:39:15.3,
20,54,2360003,00:39:20.3,
20,54,2365003,00:39:25.3,
20,54,2370003,00:39:30.3,
20,54,2375003,00:39:35.3,
20,54,2380005,00:39:40.5,
20,54,2385003,00:39:45.3,
20,54,2390003,00:39:50.3,
20,54,2395003,00:39:55.3,
20,54,2400003,00:40:00.3,
20,53,2405003,00:40:05.3,
20,53,2410003,00:40:10.3,
20,53,2415003,00:40:15.3,
20,53,2420003,00:40:20.3,
20,53,2425004,00:40:25.4,
20,53,2430003,00:40:30.3,
20,53,2435003,00:40:35.3,
20,53,2440003,00:40:40.3,
20,53,2445003,00:40:45.3,
20,53,2450003,00:40:50.3,
20,53,2455003,00:40:55.3,
20,53,2460003,00:41:00.3,
20,53,2465003,00:41:05.3,
20,53,2470003,00:41:10.3,
20,53,2475003,00:41:15.3,
21,54,2480003,00:41:20.3,
20,53,2485003,00:41:25.3,
20,53,2490003,00:41:30.3,
20,53,2495003,00:41:35.3,
20,53,2500003,00:41:40.3,
20,53,2505004,00:41:45.4,
20,53,2510003,00:41:50.3,
20,53,2515003,00:41:55.3,
20,53,2520003,00:42:00.3,
20,53,2525003,00:42:05.3,
20,54,2530003,00:42:10.3,
20,54,2535003,00:42:15.3,
20,54,2540003,00:42:20.3,
20,53,2545003,00:42:25.3,
20,54,2550003,00:42:30.3,
20,54,2555003,00:42:35.3,
20,53,2560003,00:42:40.3,
20,54,2565003,00:42:45.3,
20,54,2570003,00:42:50.3,
20,53,2575003,00:42:55.3,
20,53,2580003,00:43:00.3,
20,53,2585004,00:43:05.4,
20,53,2590003,00:43:10.3,
20,53,2595003,00:43:15.3,
20,53,2600003,00:43:20.3,
20,53,2605003,00:43:25.3,
20,54,2610003,00:43:30.3,
20,54,2615003,00:43:35.3,
20,54,2620003,00:43:40.3,
20,54,2625003,00:43:45.3,
20,54,2630003,00:43:50.3,
20,54,2635003,00:43:55.3,
20,54,2640003,00:44:00.3,
20,54,2645003,00:44:05.3,
20,54,2650003,00:44:10.3,
20,54,2655003,00:44:15.3,
20,54,2660003,00:44:20.3,
20,54,2665004,00:44:25.4,
20,54,2670003,00:44:30.3,
20,54,2675003,00:44:35.3,
21,54,2680003,00:44:40.3,
20,54,2685003,00:44:45.3,
20,54,2690003,00:44:50.3,
20,54,2695003,00:44:55.3,
20,54,2700003,00:45:00.3,
20,54,2705003,00:45:05.3,
20,54,2710003,00:45:10.3,
20,54,2715003,00:45:15.3,
20,54,2720003,00:45:20.3,
20,54,2725003,00:45:25.3,
20,54,2730003,00:45:30.3,
20,54,2735003,00:45:35.3,
20,54,2740003,00:45:40.3,
21,54,2745004,00:45:45.4,
20,53,2750003,00:45:50.3,
20,53,2755003,00:45:55.3,
20,53,2760003,00:46:00.3,
20,53,2765003,00:46:05.3,
20,54,2770003,00:46:10.3,
20,54,2775003,00:46:15.3,
20,54,2780003,00:46:20.3,
20,54,2785003,00:46:25.3,
20,54,2790003,00:46:30.3,
21,54,2795003,00:46:35.3,
20,54,2800003,00:46:40.3,
20,54,2805003,00:46:45.3,
20,54,2810003,00:46:50.3,
20,54,2815003,00:46:55.3,
20,54,2820003,00:47:00.3,
20,54,2825004,00:47:05.4,
20,54,2830003,00:47:10.3,
20,53,2835003,00:47:15.3,
20,53,2840003,00:47:20.3,
20,53,2845003,00:47:25.3,
20,53,2850003,00:47:30.3,
20,53,2855003,00:47:35.3,
20,53,2860003,00:47:40.3,
20,53,2865003,00:47:45.3,
20,53,2870003,00:47:50.3,
20,53,2875003,00:47:55.3,
20,54,2880003,00:48:00.3,
20,54,2885003,00:48:05.3,
20,54,2890003,00:48:10.3,
20,54,2895003,00:48:15.3,
20,54,2900003,00:48:20.3,
20,54,2905004,00:48:25.4,
21,54,2910003,00:48:30.3,
20,54,2915003,00:48:35.3,
20,54,2920003,00:48:40.3,
20,54,2925003,00:48:45.3,
20,54,2930003,00:48:50.3,
20,54,2935003,00:48:55.3,
20,54,2940003,00:49:00.3,
20,54,2945003,00:49:05.3,
20,54,2950003,00:49:10.3,
20,54,2955003,00:49:15.3,
20,54,2960003,00:49:20.3,
20,54,2965003,00:49:25.3,
21,54,2970003,00:49:30.3,
20,54,2975003,00:49:35.3,
20,54,2980003,00:49:40.3,
20,54,2985004,00:49:45.4,
20,54,2990003,00:49:50.3,
20,54,2995003,00:49:55.3,
20,54,3000003,00:50:00.3,
20,54,3005003,00:50:05.3,
21,54,3010003,00:50:10.3,
20,54,3015003,00:50:15.3,
21,54,3020007,00:50:20.7,
20,54,3025003,00:50:25.3,
21,54,3030003,00:50:30.3,
21,54,3035003,00:50:35.3,
20,54,3040003,00:50:40.3,
20,54,3045003,00:50:45.3,
21,54,3050003,00:50:50.3,
20,54,3055003,00:50:55.3,
20,54,3060003,00:51:00.3,
20,53,3065004,00:51:05.4,
20,53,3070003,00:51:10.3,
21,54,3075003,00:51:15.3,
20,54,3080003,00:51:20.3,
20,54,3085003,00:51:25.3,
21,54,3090003,00:51:30.3,
21,54,3095003,00:51:35.3,
20,53,3100003,00:51:40.3,
20,53,3105003,00:51:45.3,
21,54,3110003,00:51:50.3,
20,53,3115003,00:51:55.3,
20,53,3120003,00:52:00.3,
21,54,3125003,00:52:05.3,
21,53,3130003,00:52:10.3,
20,53,3135003,00:52:15.3,
21,53,3140003,00:52:20.3,
20,53,3145004,00:52:25.4,
20,53,3150003,00:52:30.3,
21,53,3155003,00:52:35.3,
20,53,3160003,00:52:40.3,
20,53,3165004,00:52:45.4,
20,53,3170003,00:52:50.3,
20,53,3175003,00:52:55.3,
21,53,3180003,00:53:00.3,
21,53,3185003,00:53:05.3,
20,53,3190003,00:53:10.3,
21,53,3195003,00:53:15.3,
20,53,3200003,00:53:20.3,
20,53,3205003,00:53:25.3,
21,53,3210003,00:53:30.3,
21,53,3215003,00:53:35.3,
20,53,3220003,00:53:40.3,
20,53,3225004,00:53:45.4,
20,53,3230003,00:53:50.3,
21,53,3235003,00:53:55.3,
21,53,3240003,00:54:00.3,
20,53,3245003,00:54:05.3,
21,53,3250003,00:54:10.3,
21,54,3255003,00:54:15.3,
21,54,3260003,00:54:20.3,
20,53,3265003,00:54:25.3,
21,54,3270003,00:54:30.3,
20,53,3275003,00:54:35.3,
20,53,3280003,00:54:40.3,
21,54,3285003,00:54:45.3,
20,53,3290003,00:54:50.3,
20,53,3295003,00:54:55.3,
21,54,3300003,00:55:00.3,
21,54,3305004,00:55:05.4,
21,54,3310005,00:55:10.5,
21,54,3315003,00:55:15.3,
21,54,3320003,00:55:20.3,
20,54,3325003,00:55:25.3,
21,54,3330003,00:55:30.3,
21,54,3335003,00:55:35.3,
21,54,3340003,00:55:40.3,
21,54,3345003,00:55:45.3,
20,54,3350003,00:55:50.3,
21,54,3355003,00:55:55.3,
21,54,3360003,00:56:00.3,
21,54,3365003,00:56:05.3,
20,54,3370003,00:56:10.3,
21,54,3375003,00:56:15.3,
21,54,3380003,00:56:20.3,
21,54,3385004,00:56:25.4,
21,54,3390003,00:56:30.3,
20,54,3395003,00:56:35.3,
20,54,3400003,00:56:40.3,
21,54,3405003,00:56:45.3,
21,54,3410003,00:56:50.3,
21,54,3415003,00:56:55.3,
21,54,3420003,00:57:00.3,
21,54,3425003,00:57:05.3,
20,54,3430003,00:57:10.3,
21,54,3435003,00:57:15.3,
21,54,3440003,00:57:20.3,
21,54,3445003,00:57:25.3,
21,54,3450003,00:57:30.3,
21,54,3455003,00:57:35.3,
21,54,3460003,00:57:40.3,
21,54,3465004,00:57:45.4,
21,54,3470003,00:57:50.3,
21,54,3475003,00:57:55.3,
21,54,3480003,00:58:00.3,
21,54,3485003,00:58:05.3,
21,54,3490003,00:58:10.3,
21,54,3495003,00:58:15.3,
21,54,3500003,00:58:20.3,
21,54,3505003,00:58:25.3,
21,54,3510003,00:58:30.3,
21,54,3515003,00:58:35.3,
21,54,3520003,00:58:40.3,
21,54,3525003,00:58:45.3,
21,54,3530003,00:58:50.3,
21,54,3535003,00:58:55.3,
21,54,3540003,00:59:00.3,
21,54,3545004,00:59:05.4,
21,54,3550003,00:59:10.3,
21,54,3555003,00:59:15.3,
